zcta,latitude,longitude,JobsTotal,JobsAgriculture,JobsAutomotive,JobsEntertainment,JobsConstruction,JobsHealthcare,JobsManufacturing,JobsProfessional,JobsRealestate,JobsTrade,JobsTransport
1001,42.06,-72.63,436,,,8,45,41,47,57,11,39,9
1002,42.36,-72.46,590,2,,31,27,77,11,114,31,9,7
1003,42.39,-72.52,16,,,2,,2,,2,,1,
1005,42.42,-72.11,91,1,,1,14,7,2,14,2,2,6
1007,42.28,-72.4,217,1,,4,30,30,10,28,5,14,6
1008,42.19,-72.95,20,1,,2,5,,,3,,,
1009,42.21,-72.34,14,,,,2,,1,2,,1,1
1010,42.13,-72.21,79,,,1,18,2,4,9,9,2,5
1011,42.29,-72.97,16,,,1,3,1,3,,2,,
1012,42.38,-72.86,13,,,,4,4,2,,,1,
1013,42.15,-72.6,326,,,8,31,25,31,44,7,19,8
1020,42.17,-72.56,536,,,10,62,44,22,50,26,17,18
1022,42.2,-72.54,64,,,1,,8,22,2,3,3,7
1026,42.47,-72.92,17,,,,2,,2,2,,1,1
1027,42.3,-72.75,368,1,,11,58,38,33,37,8,8,7
1028,42.06,-72.5,504,,,12,52,58,31,87,18,30,7
1029,42.19,-73.04,12,,,,2,,2,1,,,
1030,42.07,-72.69,183,,,5,36,16,4,24,9,8,1
1031,42.33,-72.2,18,,,2,1,,2,,,,2
1032,42.46,-72.81,22,,,1,4,3,2,1,,1,
1033,42.24,-72.5,118,3,,6,31,4,4,10,2,2,2
1034,42.09,-72.96,29,,,,10,,2,3,,1,1
1035,42.36,-72.57,285,,,10,25,26,8,38,8,4,2
1036,42.07,-72.42,117,1,,3,28,5,3,12,,4,1
1037,42.38,-72.2,13,,,1,3,,2,3,,,
1038,42.38,-72.6,57,,,2,11,1,3,5,2,6,6
1039,42.4,-72.69,35,,,3,9,3,1,3,,,
1040,42.21,-72.64,932,,,24,46,142,66,125,33,29,12
1050,42.29,-72.87,26,,,,7,2,,1,,,1
1053,42.36,-72.71,31,,,3,1,8,3,4,,1,
1054,42.47,-72.48,33,,,1,8,4,,6,1,3,
1056,42.18,-72.46,403,,,9,77,25,36,47,16,7,12
1057,42.09,-72.32,148,1,,2,39,7,12,9,4,6,7
1060,42.32,-72.63,787,2,,42,30,131,20,138,28,22,7
1062,42.32,-72.7,183,,,8,18,32,6,21,10,10,4
1063,42.32,-72.64,2,,,1,,,,,,,
1066,42.41,-72.66,7,,,3,1,,,1,,,
1068,42.35,-72.04,29,,,1,12,1,2,2,,2,2
1069,42.19,-72.31,261,,,9,28,20,24,33,4,16,10
1070,42.52,-72.92,9,,,1,1,,1,,,1,
1071,42.16,-72.87,23,1,,,6,1,2,,,2,
1072,42.46,-72.42,16,,,3,4,,1,3,,,
1073,42.23,-72.74,112,1,,4,26,6,5,11,3,6,3
1074,42.39,-72.09,8,,,,,,1,,,1,
1075,42.26,-72.58,301,,,8,46,35,10,44,10,11,6
1077,42.05,-72.78,220,3,,11,32,11,16,19,6,8,7
1079,42.19,-72.33,11,,,,2,,1,1,,,
1080,42.19,-72.36,42,,,,4,6,7,10,1,,1
1081,42.06,-72.23,12,1,,,4,,1,,1,,1
1082,42.3,-72.28,171,1,,5,18,23,8,21,,8,5
1083,42.2,-72.19,41,,,2,5,1,3,6,3,,3
1084,42.39,-72.88,3,,,,1,,,,,,
1085,42.15,-72.77,835,,,20,90,92,89,95,32,49,35
1086,42.13,-72.79,23,,,2,2,3,5,,,1,1
1088,42.39,-72.65,22,,,,2,1,3,5,1,1,
1089,42.13,-72.65,974,,,21,77,94,58,137,37,67,24
1092,42.19,-72.24,22,,,1,3,,2,3,,2,
1093,42.44,-72.66,31,,,2,5,2,3,2,,4,1
1094,42.36,-72.14,3,,,,,,2,,,,1
1095,42.14,-72.42,307,1,,8,37,41,8,63,9,12,5
1096,42.4,-72.76,43,,,1,5,2,6,5,2,,1
1098,42.39,-72.94,29,,,5,7,1,1,3,2,,
1103,42.1,-72.59,625,,,26,8,77,7,284,23,9,6
1104,42.13,-72.57,587,,,10,32,108,34,52,24,59,34
