Commodity,Location,Output,Jobs
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,76 Billion,135.8 K
Rail transport,RoUS,72.2 Billion,766
Federal electric utilities and postal service,RoUS,70.6 Billion,507.1 K
Furniture and shelving,RoUS,67.6 Billion,348.2 K
Print media and printing support,RoUS,65.6 Billion,314.9 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61.6 Billion,456.5 K
Pipeline transport,RoUS,54.1 Billion,57.3 K
Textiles and textile-dervied products (except clothes),RoUS,45.7 Billion,185.2 K
"Water transport (boats, ships, ferries)",RoUS,39 Billion,65.1 K
Clothing and leather,RoUS,21.5 Billion,123.6 K
"Scrap, used and secondhand goods",RoUS,8.2 Billion,22.2 K
State and local general government,US-AK,7.6 Billion,3.4 K
Pipeline transport,US-AK,6.2 Billion,486
Unrefined oil and gas,US-AK,6 Billion,3 K
Construction,US-AK,5.9 Billion,17.5 K
Housing,US-AK,5.8 Billion,1.1 K
Federal general government (defense),US-AK,5 Billion,4.1 K
"Healthcare professions, laboratories, and ambulances",US-AK,3.5 Billion,21.3 K
Hospitals,US-AK,3.5 Billion,14.8 K
Noncomparable imports and rest-of-the-world adjustment,RoUS,3.2 Billion,7.8 K
"Miscellaneous professional, scientific, and technical services",US-AK,3.2 Billion,14.8 K
Food and beverage and tobacco products,US-AK,2.5 Billion,8.6 K
Wholesale trade,US-AK,2.3 Billion,6 K
Federal general government (nondefense),US-AK,2.1 Billion,782
Other retail,US-AK,2.1 Billion,13.8 K
"Metal ores, dimensional stone, nonmetallic minerals",US-AK,1.9 Billion,2.4 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-AK,1.8 Billion,2.4 K
"Couriers, messengers, transportation for leisure activities",US-AK,1.7 Billion,5.6 K
"Other services, except government",US-AK,1.7 Billion,10.7 K
Food and beverage establishments,US-AK,1.6 Billion,20.2 K
Well drilling and support activities for mining,US-AK,1.6 Billion,4.5 K
"Radio, TV, telecommunication",US-AK,1.6 Billion,3.4 K
Other real estate,US-AK,1.5 Billion,1.8 K
Administrative and support services,US-AK,1.4 Billion,9.1 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-AK,1.2 Billion,449
Air transport,US-AK,1.2 Billion,4.2 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-AK,1.1 Billion,4 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",US-AK,1 Billion,1.5 K
General merchandise stores,US-AK,953.7 Million,10.3 K
"Water transport (boats, ships, ferries)",US-AK,863.4 Million,1.1 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-AK,856 Million,2.3 K
"Insurance agencies, carriers, and brokerages",US-AK,742.4 Million,1.6 K
Truck transport,US-AK,702.2 Million,2.5 K
"Child day care, community food services, housing services, and other relief services",US-AK,682.6 Million,8.6 K
Educational institutions and services,US-AK,588.9 Million,21.5 K
Company and enterprise management,US-AK,562.6 Million,2.6 K
Food and beverage stores,US-AK,527.9 Million,5 K
Hotels and campgrounds,US-AK,407.9 Million,4.9 K
Computer programming and systems design,US-AK,378.4 Million,2.3 K
Federal electric utilities and postal service,US-AK,337.1 Million,1.4 K
"Nursing, community, mental health, and substance abuse facilities",US-AK,335.8 Million,4 K
"Amusement facilities, gambling facilities, resort and recreation facilities",US-AK,331.5 Million,3.1 K
Vehicles and parts sales,US-AK,302.4 Million,2.8 K
"Financial investments, exchanges, and advising",US-AK,251.1 Million,593
Other state and local government enterprises including transit and utilities,US-AK,245.8 Million,8.0
Legal services,US-AK,233.5 Million,1.2 K
Passenger ground transport,US-AK,198.7 Million,1.3 K
"Funds, trusts, and financial vehicles",US-AK,159.4 Million,78.0
"Scrap, used and secondhand goods",US-AK,157.9 Million,521
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-AK,152.8 Million,265
"Wood products (e.g. plywood, veneer)",US-AK,122.3 Million,222
Waste management and remediation services,US-AK,121.2 Million,435
Fabricated metal products (e.g. architectural and structural metal products),US-AK,117.8 Million,485
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-AK,107.6 Million,269
"Performing arts, spectator sports, museums, and related activities",US-AK,106.4 Million,1.4 K
"Media, literature, and software",US-AK,96 Million,369
Warehouses,US-AK,83.7 Million,584
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",US-AK,83.4 Million,363
"Data processing, internet publishing, and other information services",US-AK,79.4 Million,178
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-AK,63.8 Million,462
Paper products and paper production facilities,US-AK,48.5 Million,147
Machinery (except computers),US-AK,41.2 Million,113
Film and sound-based entertainment,US-AK,41 Million,292
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-AK,40.9 Million,578
Print media and printing support,US-AK,33.2 Million,187
"Computers and relevant parts, conductors, measuring devices, communication devices",US-AK,29 Million,145
Furniture and shelving,US-AK,23.7 Million,66.0
Plastics and rubber products,US-AK,20.4 Million,30.0
On-road vehicles (excluding motorcycles) and accompanying parts,US-AK,20.1 Million,54.0
"Lights and light fixtures, switch boards, transformers, and home appliances",US-AK,15.6 Million,27.0
Noncomparable imports and rest-of-the-world adjustment,US-AK,14.7 Million,6.0
Primary and secondary ferrous and nonferrous metals,US-AK,7.7 Million,18.0
Textiles and textile-dervied products (except clothes),US-AK,6.7 Million,46.0
Clothing and leather,US-AK,5.1 Million,31.0
Rail transport,US-AK,346.3 K,0.0
