Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2263972040884,2.3 Trillion,8662982,8.7 Million
Housing,RoUS,2232783951907,2.2 Trillion,370279,370.3 K
Wholesale trade,RoUS,1985040513930,2.0 Trillion,5334566,5.3 Million
State and local general government,RoUS,1862689591342,1.9 Trillion,4053125,4.1 Million
Construction,RoUS,1808550632387,1.8 Trillion,7392640,7.4 Million
Other real estate,RoUS,1381018258545,1.4 Trillion,1310277,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1324687333767,1.3 Trillion,2359389,2.4 Million
Hospitals,RoUS,1121346301049,1.1 Trillion,6604705,6.6 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1098693772922,1.1 Trillion,7432165,7.4 Million
Other retail,RoUS,1074887012791,1.1 Trillion,6447557,6.4 Million
Administrative and support services,RoUS,997985119511,998.0 Billion,7690851,7.7 Million
Food and beverage and tobacco products,RoUS,933678923953,933.7 Billion,1933630,1.9 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,911583586132,911.6 Billion,2350614,2.4 Million
"Other services, except government",RoUS,852960051876,853.0 Billion,4666921,4.7 Million
Food and beverage establishments,RoUS,843697803633,843.7 Billion,10348453,10.3 Million
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,711257769076,711.3 Billion,778934,778.9 K
"Radio, TV, telecommunication",RoUS,696217841611,696.2 Billion,741564,741.6 K
Federal general government (defense),RoUS,683034148905,683.0 Billion,527791,527.8 K
"Financial investments, exchanges, and advising",RoUS,681032858530,681.0 Billion,974130,974.1 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,665918078007,665.9 Billion,931551,931.6 K
Company and enterprise management,RoUS,633643265401,633.6 Billion,2160450,2.2 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,605262689123,605.3 Billion,850380,850.4 K
Computer programming and systems design,RoUS,566991046252,567.0 Billion,2510771,2.5 Million
Federal general government (nondefense),RoUS,446436618442,446.4 Billion,1056627,1.1 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,445516186148,445.5 Billion,843118,843.1 K
Educational institutions and services,RoUS,393523566870,393.5 Billion,10005678,10 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,388790380136,388.8 Billion,782655,782.7 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,385132645059,385.1 Billion,115931,115.9 K
Legal services,RoUS,361555694399,361.6 Billion,1097089,1.1 Million
Truck transport,RoUS,359233307111,359.2 Billion,1402523,1.4 Million
"Media, literature, and software",RoUS,342063485872,342.1 Billion,589691,589.7 K
Machinery (except computers),RoUS,340601529183,340.6 Billion,943024,943 K
"Data processing, internet publishing, and other information services",RoUS,333744412437,333.7 Billion,582328,582.3 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,330069194797,330.1 Billion,1270136,1.3 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,314363538299,314.4 Billion,878071,878.1 K
"Couriers, messengers, transportation for leisure activities",RoUS,277338622803,277.3 Billion,1690450,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,254338302127,254.3 Billion,3337715,3.3 Million
Food and beverage stores,RoUS,245841674598,245.8 Billion,2674039,2.7 Million
General merchandise stores,RoUS,236395590932,236.4 Billion,2679077,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,234406781197,234.4 Billion,3958321,4 Million
Vehicles and parts sales,RoUS,232272278884,232.3 Billion,1329889,1.3 Million
Plastics and rubber products,RoUS,228326054160,228.3 Billion,659827,659.8 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,214420905479,214.4 Billion,648019,648 K
Primary and secondary ferrous and nonferrous metals,RoUS,209974562268,210.0 Billion,346080,346.1 K
Unrefined oil and gas,RoUS,204573804087,204.6 Billion,101434,101.4 K
"Funds, trusts, and financial vehicles",RoUS,189601167853,189.6 Billion,77935,77.9 K
Paper products and paper production facilities,RoUS,173089007974,173.1 Billion,335201,335.2 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,170346747143,170.3 Billion,532731,532.7 K
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,153072881775,153.1 Billion,1429807,1.4 Million
Warehouses,RoUS,152918689856,152.9 Billion,1421395,1.4 Million
Hotels and campgrounds,RoUS,142257410587,142.3 Billion,1383309,1.4 Million
Waste management and remediation services,RoUS,126312523719,126.3 Billion,489597,489.6 K
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,125306347657,125.3 Billion,368164,368.2 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,124525548875,124.5 Billion,370853,370.9 K
"Performing arts, spectator sports, museums, and related activities",RoUS,123913942464,123.9 Billion,550820,550.8 K
Film and sound-based entertainment,RoUS,121804342741,121.8 Billion,263872,263.9 K
Air transport,RoUS,115440182010,115.4 Billion,430434,430.4 K
Other state and local government enterprises including transit and utilities,RoUS,109359604342,109.4 Billion,45996,46 K
"Wood products (e.g. plywood, veneer)",RoUS,106568717769,106.6 Billion,378083,378.1 K
Well drilling and support activities for mining,RoUS,88421230512,88.4 Billion,230646,230.6 K
Passenger ground transport,RoUS,82290665926,82.3 Billion,608278,608.3 K
Housing,US-GA,80976048093,81.0 Billion,10038,10 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,75982244300,76.0 Billion,134461,134.5 K
Wholesale trade,US-GA,74585486070,74.6 Billion,201097,201.1 K
Rail transport,RoUS,69911790981,69.9 Billion,744,744
Federal electric utilities and postal service,RoUS,68584199935,68.6 Billion,493955,494 K
Furniture and shelving,RoUS,65337170905,65.3 Billion,337310,337.3 K
Print media and printing support,RoUS,63530236041,63.5 Billion,305110,305.1 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61153384296,61.2 Billion,448048,448 K
Construction,US-GA,60938367613,60.9 Billion,205164,205.2 K
"Miscellaneous professional, scientific, and technical services",US-GA,60210959116,60.2 Billion,248621,248.6 K
Pipeline transport,RoUS,59601068614,59.6 Billion,57084,57.1 K
State and local general government,US-GA,53854408658,53.9 Billion,3802,3.8 K
"Radio, TV, telecommunication",US-GA,49315158389,49.3 Billion,40658,40.7 K
"Water transport (boats, ships, ferries)",RoUS,39693516048,39.7 Billion,65614,65.6 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-GA,39483413868,39.5 Billion,67825,67.8 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-GA,37627813852,37.6 Billion,30001,30 K
Textiles and textile-dervied products (except clothes),RoUS,37562684511,37.6 Billion,161178,161.2 K
Administrative and support services,US-GA,36559880489,36.6 Billion,305742,305.7 K
Food and beverage and tobacco products,US-GA,33772076047,33.8 Billion,72169,72.2 K
"Healthcare professions, laboratories, and ambulances",US-GA,32598227078,32.6 Billion,226076,226.1 K
"Insurance agencies, carriers, and brokerages",US-GA,31982666233,32.0 Billion,80057,80.1 K
Hospitals,US-GA,29950698951,30.0 Billion,178578,178.6 K
Other retail,US-GA,29352987209,29.4 Billion,206651,206.7 K
Food and beverage establishments,US-GA,25699196367,25.7 Billion,362982,363 K
Company and enterprise management,US-GA,24115734599,24.1 Billion,84965,85 K
"Other services, except government",US-GA,23395948124,23.4 Billion,131346,131.3 K
Other real estate,US-GA,21051741455,21.1 Billion,41066,41.1 K
Clothing and leather,RoUS,20237072917,20.2 Billion,117373,117.4 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-GA,20208921993,20.2 Billion,19927,19.9 K
Federal general government (defense),US-GA,17442851095,17.4 Billion,27576,27.6 K
Computer programming and systems design,US-GA,15724953748,15.7 Billion,84192,84.2 K
