Commodity,Location,Commodities,Output,Employees,Jobs
"Miscellaneous professional, scientific, and technical services",RoUS,2275892169605,2.3 Trillion,8660298,8.7 Million
Housing,RoUS,2231199258718,2.2 Trillion,368457,368.5 K
Wholesale trade,RoUS,1991070926684,2.0 Trillion,5314606,5.3 Million
State and local general government,RoUS,1852032312503,1.9 Trillion,4051082,4.1 Million
Construction,RoUS,1815129512608,1.8 Trillion,7368029,7.4 Million
Other real estate,RoUS,1380736395018,1.4 Trillion,1316068,1.3 Million
"Insurance agencies, carriers, and brokerages",RoUS,1293488489819,1.3 Trillion,2327718,2.3 Million
Hospitals,RoUS,1103037560193,1.1 Trillion,6495306,6.5 Million
"Healthcare professions, laboratories, and ambulances",RoUS,1092638539870,1.1 Trillion,7384019,7.4 Million
Other retail,RoUS,1069166780205,1.1 Trillion,6413804,6.4 Million
Administrative and support services,RoUS,1003733343172,1.0 Trillion,7720307,7.7 Million
Food and beverage and tobacco products,RoUS,926672999375,926.7 Billion,1933338,1.9 Million
"Monetary authorities, depository and nondepository credit intermediation and related activities",RoUS,901965152882,902.0 Billion,2331923,2.3 Million
"Other services, except government",RoUS,848735148778,848.7 Billion,4626851,4.6 Million
Food and beverage establishments,RoUS,841063823471,841.1 Billion,10302485,10.3 Million
"Radio, TV, telecommunication",RoUS,732230674467,732.2 Billion,759819,759.8 K
Federal general government (defense),RoUS,690666854744,690.7 Billion,529986,530 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",RoUS,685476889561,685.5 Billion,763137,763.1 K
"Financial investments, exchanges, and advising",RoUS,680573237994,680.6 Billion,970506,970.5 K
"Electricity, natural gas, drinking water, and wastewater treatment",RoUS,666300728453,666.3 Billion,916285,916.3 K
Company and enterprise management,RoUS,621209528720,621.2 Billion,2111381,2.1 Million
On-road vehicles (excluding motorcycles) and accompanying parts,RoUS,576209488194,576.2 Billion,785983,786 K
Computer programming and systems design,RoUS,569425716189,569.4 Billion,2516305,2.5 Million
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",RoUS,469328981296,469.3 Billion,843077,843.1 K
Federal general government (nondefense),RoUS,449392299084,449.4 Billion,1065548,1.1 Million
Educational institutions and services,RoUS,394222995650,394.2 Billion,9974992,10 Million
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",RoUS,386182426867,386.2 Billion,782299,782.3 K
"Petroleum fuels, asphalt, and other petroleum and coal products",RoUS,368888651880,368.9 Billion,112014,112 K
Legal services,RoUS,363540906665,363.5 Billion,1100145,1.1 Million
Truck transport,RoUS,354006820674,354.0 Billion,1388396,1.4 Million
"Media, literature, and software",RoUS,344817082321,344.8 Billion,593949,593.9 K
"Data processing, internet publishing, and other information services",RoUS,338275797209,338.3 Billion,580891,580.9 K
Machinery (except computers),RoUS,329493403813,329.5 Billion,895350,895.4 K
Fabricated metal products (e.g. architectural and structural metal products),RoUS,313250301820,313.3 Billion,1209863,1.2 Million
"Computers and relevant parts, conductors, measuring devices, communication devices",RoUS,312830477458,312.8 Billion,867438,867.4 K
"Couriers, messengers, transportation for leisure activities",RoUS,276547490723,276.5 Billion,1694522,1.7 Million
"Nursing, community, mental health, and substance abuse facilities",RoUS,247387922178,247.4 Billion,3236334,3.2 Million
Food and beverage stores,RoUS,244825643514,244.8 Billion,2669907,2.7 Million
General merchandise stores,RoUS,235586051165,235.6 Billion,2666023,2.7 Million
"Child day care, community food services, housing services, and other relief services",RoUS,231731087053,231.7 Billion,3900106,3.9 Million
Vehicles and parts sales,RoUS,231330841652,231.3 Billion,1323024,1.3 Million
Plastics and rubber products,RoUS,219811740855,219.8 Billion,629591,629.6 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",RoUS,211936585093,211.9 Billion,659311,659.3 K
Unrefined oil and gas,RoUS,201785410765,201.8 Billion,101915,101.9 K
Primary and secondary ferrous and nonferrous metals,RoUS,196251905273,196.3 Billion,319441,319.4 K
"Funds, trusts, and financial vehicles",RoUS,190656550036,190.7 Billion,78419,78.4 K
Paper products and paper production facilities,RoUS,177490642702,177.5 Billion,332392,332.4 K
"Medical supplies, entertainment and sporting goods, fashion goods, advertising products",RoUS,168451714451,168.5 Billion,525077,525.1 K
Warehouses,RoUS,151169158841,151.2 Billion,1406725,1.4 Million
"Amusement facilities, gambling facilities, resort and recreation facilities",RoUS,150529147447,150.5 Billion,1411601,1.4 Million
Hotels and campgrounds,RoUS,142878076550,142.9 Billion,1388800,1.4 Million
Film and sound-based entertainment,RoUS,124407008807,124.4 Billion,273226,273.2 K
Waste management and remediation services,RoUS,123319830048,123.3 Billion,479530,479.5 K
"Performing arts, spectator sports, museums, and related activities",RoUS,122878857016,122.9 Billion,545679,545.7 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",RoUS,121358627034,121.4 Billion,361403,361.4 K
Air transport,RoUS,121313483739,121.3 Billion,447609,447.6 K
"Lights and light fixtures, switch boards, transformers, and home appliances",RoUS,121090942094,121.1 Billion,359948,359.9 K
"Wood products (e.g. plywood, veneer)",RoUS,109966929780,110.0 Billion,385265,385.3 K
Other state and local government enterprises including transit and utilities,RoUS,109021829812,109.0 Billion,44247,44.2 K
Well drilling and support activities for mining,RoUS,85197730742,85.2 Billion,226845,226.8 K
Housing,US-OH,82560741282,82.6 Billion,11742,11.7 K
Passenger ground transport,RoUS,82005764688,82.0 Billion,606581,606.6 K
"Metal ores, dimensional stone, nonmetallic minerals",RoUS,76092379885,76.1 Billion,134187,134.2 K
Rail transport,RoUS,69784500594,69.8 Billion,741,741
Federal electric utilities and postal service,RoUS,69061010504,69.1 Billion,488369,488.4 K
Wholesale trade,US-OH,68555073316,68.6 Billion,221202,221.2 K
Furniture and shelving,RoUS,65097258763,65.1 Billion,334022,334 K
State and local general government,US-OH,64511687497,64.5 Billion,3835,3.8 K
"Insurance agencies, carriers, and brokerages",US-OH,63181510181,63.2 Billion,111723,111.7 K
Print media and printing support,RoUS,62796302479,62.8 Billion,300167,300.2 K
"Raw forest products, wild-caught fish and game, agriculture and forestry support",RoUS,61659174351,61.7 Billion,455086,455.1 K
Pipeline transport,RoUS,57922338869,57.9 Billion,55151,55.2 K
Construction,US-OH,54359487392,54.4 Billion,229725,229.7 K
"Monetary authorities, depository and nondepository credit intermediation and related activities",US-OH,49101847118,49.1 Billion,86515,86.5 K
"Miscellaneous professional, scientific, and technical services",US-OH,48290830395,48.3 Billion,250746,250.7 K
Hospitals,US-OH,48259439807,48.3 Billion,287760,287.8 K
Textiles and textile-dervied products (except clothes),RoUS,44347032353,44.3 Billion,180528,180.5 K
On-road vehicles (excluding motorcycles) and accompanying parts,US-OH,42831511806,42.8 Billion,89669,89.7 K
Food and beverage and tobacco products,US-OH,40778000625,40.8 Billion,72338,72.3 K
"Agricultural, pharamceutical, industrial, and commercial chemicals",US-OH,40046110439,40.0 Billion,48040,48 K
"Water transport (boats, ships, ferries)",RoUS,39406625234,39.4 Billion,65156,65.2 K
"Healthcare professions, laboratories, and ambulances",US-OH,38653460130,38.7 Billion,274185,274.2 K
Company and enterprise management,US-OH,36549471280,36.5 Billion,134034,134 K
Other retail,US-OH,35073219795,35.1 Billion,240434,240.4 K
Administrative and support services,US-OH,30811656828,30.8 Billion,276266,276.3 K
Food and beverage establishments,US-OH,28333176529,28.3 Billion,408938,408.9 K
"Other services, except government",US-OH,27620851222,27.6 Billion,171366,171.4 K
Fabricated metal products (e.g. architectural and structural metal products),US-OH,24170698180,24.2 Billion,90033,90 K
Other real estate,US-OH,21333604982,21.3 Billion,34912,34.9 K
Clothing and leather,RoUS,20964613209,21.0 Billion,120720,120.7 K
"Electricity, natural gas, drinking water, and wastewater treatment",US-OH,19826271547,19.8 Billion,32816,32.8 K
Machinery (except computers),US-OH,19189596187,19.2 Billion,69560,69.6 K
"Petroleum fuels, asphalt, and other petroleum and coal products",US-OH,17808348120,17.8 Billion,4742,4.7 K
Primary and secondary ferrous and nonferrous metals,US-OH,17577094727,17.6 Billion,34414,34.4 K
Truck transport,US-OH,17542179326,17.5 Billion,69064,69.1 K
Plastics and rubber products,US-OH,16839259145,16.8 Billion,53072,53.1 K
"Renting and leasing of goods, equipment, vehicles and nonfinancial intangible assets",US-OH,13815018704,13.8 Billion,30042,30 K
"Radio, TV, telecommunication",US-OH,13302325533,13.3 Billion,22402,22.4 K
Computer programming and systems design,US-OH,13290283811,13.3 Billion,78456,78.5 K
Federal general government (nondefense),US-OH,11576700916,11.6 Billion,3574,3.6 K
"Financial investments, exchanges, and advising",US-OH,11481762006,11.5 Billion,22302,22.3 K
"Nursing, community, mental health, and substance abuse facilities",US-OH,11400077822,11.4 Billion,163469,163.5 K
General merchandise stores,US-OH,10910948835,10.9 Billion,105986,106 K
Food and beverage stores,US-OH,10268356486,10.3 Billion,90846,90.8 K
Educational institutions and services,US-OH,9999004350,10.0 Billion,350033,350 K
"Other vehicles (e.g. aircraft, water vessels), missiles, and accompanying parts",US-OH,9896414907,9.9 Billion,16149,16.1 K
"Oilseeds, grains, vegetables, fruits, animal farms and aquaculture",US-OH,9874573133,9.9 Billion,14400,14.4 K
"Couriers, messengers, transportation for leisure activities",US-OH,9867509277,9.9 Billion,57240,57.2 K
Federal general government (defense),US-OH,9810145256,9.8 Billion,25380,25.4 K
"Lights and light fixtures, switch boards, transformers, and home appliances",US-OH,8994057906,9.0 Billion,22192,22.2 K
Warehouses,US-OH,8135841159,8.1 Billion,77199,77.2 K
"Clay, glass, cement, concrete, and other nonmetallic mineral products",US-OH,8056372966,8.1 Billion,24247,24.2 K
Legal services,US-OH,8044093335,8.0 Billion,30491,30.5 K
"Scrap, used and secondhand goods",RoUS,7972713336,8.0 Billion,21655,21.7 K
